ID	bus_IVT	bus_TA	bus_WT	bus_Cost	BS_TT	BS_Cost	car_TT	car_PT	car_Cost	car_PCost	Choice
534	50	10	10	4	40	1.5	15	8	2	3	3
535	50	5	15	6	40	3.5	15	5	2	5	3
536	30	5	15	6	60	3.5	15	5	4	5	3
537	50	5	10	4	50	3.5	45	8	4	3	2
538	30	10	15	4	60	1.5	45	5	4	5	1
539	20	5	10	4	60	1.5	25	8	2	3	1
540	40	10	10	4	50	3.5	15	8	4	3	3
541	30	10	15	6	50	1.5	45	8	4	3	1
542	20	5	15	6	40	3.5	25	8	4	3	1
543	20	5	10	4	40	3.5	25	5	2	5	1
544	30	10	10	4	50	3.5	15	8	2	5	3
545	40	5	10	6	40	1.5	25	2	4	3	3
546	20	10	10	4	50	1.5	45	5	4	5	1
547	20	10	15	6	40	1.5	35	2	4	3	1
548	50	5	10	6	40	3.5	45	8	2	5	2
549	20	5	10	6	60	3.5	25	5	4	5	1
550	50	5	10	6	50	3.5	25	8	2	3	3
551	50	5	10	4	60	1.5	25	5	2	5	3
552	30	5	10	6	60	3.5	15	8	4	5	3
553	50	10	15	4	50	1.5	25	8	2	5	3
554	30	5	15	4	60	1.5	15	8	2	3	3
555	20	10	15	6	60	1.5	35	8	4	3	1
556	50	10	10	4	50	1.5	25	2	4	5	3
557	50	10	15	6	50	1.5	45	5	4	5	2
558	50	10	10	6	60	3.5	45	8	2	3	3
559	50	10	15	4	60	1.5	35	2	4	3	3
560	50	5	15	6	60	3.5	45	2	2	5	3
561	20	10	10	4	40	3.5	15	8	4	3	1
562	20	5	15	6	50	3.5	35	2	4	3	1
563	20	5	15	6	50	3.5	45	8	4	5	1
564	40	5	10	4	40	3.5	25	5	4	5	2
565	40	10	15	6	40	3.5	35	5	2	5	2
566	40	10	15	4	50	1.5	15	2	2	3	3
567	30	5	15	6	60	1.5	15	2	2	3	3
568	40	10	15	6	40	1.5	15	2	4	3	3
569	20	5	15	6	40	1.5	35	5	2	5	1
570	40	10	10	4	50	3.5	25	5	2	5	3
571	20	10	15	4	40	3.5	35	8	2	3	1
572	40	10	15	4	40	1.5	25	2	2	5	3
573	50	5	15	4	40	3.5	45	2	4	5	2
574	20	5	10	6	50	1.5	15	5	4	3	3
575	40	5	15	6	50	1.5	25	8	4	3	3
576	50	10	10	4	60	3.5	45	2	2	3	3
577	20	10	15	6	40	1.5	45	5	2	3	1
578	50	5	10	4	40	1.5	35	2	4	5	2
579	20	10	15	4	50	1.5	15	8	2	5	3
580	20	10	10	4	40	1.5	25	5	2	3	3
581	40	5	10	4	50	3.5	15	5	2	5	3
582	40	5	10	4	60	1.5	45	8	4	5	1
583	30	10	15	6	60	1.5	15	2	4	5	3
584	20	5	10	6	40	3.5	35	5	4	3	1
585	30	5	15	4	50	1.5	45	8	2	3	1
586	20	10	15	4	50	1.5	45	8	4	3	1
587	20	5	10	4	60	3.5	15	2	4	3	3
588	20	10	15	4	50	3.5	25	2	4	3	1
589	20	10	10	6	50	1.5	45	8	2	5	1
590	30	5	10	4	40	3.5	45	5	4	3	1
591	20	10	15	6	60	3.5	25	5	2	5	1
592	30	10	10	6	60	3.5	45	2	4	5	1
593	40	5	15	6	60	3.5	35	5	4	3	3
594	50	10	15	4	40	1.5	45	8	4	3	2
595	50	5	10	4	60	3.5	35	5	4	5	3
596	50	10	15	4	50	3.5	35	8	2	3	3
597	50	10	10	6	60	3.5	45	2	4	5	3
598	20	10	15	4	50	1.5	15	8	4	3	3
599	30	5	10	4	40	3.5	25	2	2	3	3
600	20	5	10	6	40	3.5	15	2	4	3	3
601	50	10	15	6	50	3.5	45	2	2	3	3
602	50	10	15	4	40	1.5	25	5	2	3	3
603	20	10	10	4	40	3.5	45	8	4	5	1
604	20	10	10	6	60	3.5	45	8	2	3	1
605	40	5	10	4	50	1.5	15	5	2	3	3
606	50	10	15	6	40	3.5	25	2	4	5	3
607	50	5	15	6	60	1.5	45	8	2	5	2
608	50	10	15	6	40	1.5	15	8	4	3	3
609	30	5	15	6	60	3.5	15	5	2	5	3
610	20	10	10	6	50	3.5	35	8	4	5	1
611	30	10	15	6	50	3.5	35	2	4	3	3
612	20	10	15	6	60	1.5	15	5	4	5	1
613	40	10	10	4	50	1.5	15	8	4	3	3
614	40	10	10	4	50	1.5	25	2	4	5	3
615	50	5	15	4	60	3.5	15	8	2	5	3
616	50	10	10	6	50	3.5	45	8	2	5	2
617	20	10	15	6	50	1.5	15	8	4	3	3
618	20	5	10	4	50	1.5	45	8	4	3	1
619	50	10	15	6	50	1.5	35	8	2	3	2
620	30	10	10	6	50	3.5	45	8	2	5	1
621	50	5	10	4	60	3.5	25	8	2	5	3
622	20	10	10	6	60	3.5	25	2	4	5	1
623	20	10	15	4	50	3.5	25	2	4	5	3
624	50	10	10	4	50	3.5	35	5	2	5	3
625	50	5	10	4	40	1.5	35	8	2	3	2
626	20	5	15	4	50	3.5	25	8	4	5	1
627	30	10	15	6	50	1.5	45	2	4	5	1
628	20	5	15	4	50	1.5	35	2	4	3	1
629	50	10	10	4	60	3.5	35	2	2	5	3
630	30	10	10	6	50	1.5	45	5	4	3	1
631	20	5	10	4	50	3.5	15	2	4	3	3
632	50	5	15	6	50	1.5	25	5	2	5	3
633	20	5	15	6	60	3.5	45	5	4	5	1
634	30	5	10	4	50	1.5	35	2	4	3	1
635	50	5	15	6	50	3.5	45	8	4	3	2
636	30	5	15	6	60	1.5	25	8	4	5	3
637	30	10	15	6	50	3.5	45	8	2	3	1
638	30	10	15	4	50	1.5	45	2	4	3	3
639	50	5	10	6	50	1.5	45	8	4	5	2
640	30	10	15	4	50	3.5	25	8	2	3	3
641	40	10	15	4	60	1.5	15	2	4	3	3
642	50	5	10	4	40	1.5	45	8	2	5	2
643	20	10	15	4	40	1.5	15	5	4	3	3
644	40	5	10	6	60	3.5	35	2	2	5	3
645	50	10	10	4	60	3.5	45	5	2	5	3
646	20	10	10	6	50	1.5	15	8	4	5	3
647	30	5	10	6	60	1.5	35	8	2	5	1
648	40	10	15	4	40	3.5	25	2	4	5	3
649	30	5	15	6	50	3.5	45	2	2	3	1
650	30	5	10	4	50	3.5	35	2	4	5	1
651	30	5	15	6	40	1.5	15	8	2	3	3
652	20	5	10	4	50	1.5	35	5	4	5	1
653	40	5	10	6	60	3.5	25	5	4	5	3
654	30	10	10	4	50	3.5	15	2	2	3	3
655	30	5	15	6	50	3.5	45	5	2	3	1
656	50	10	15	6	60	3.5	25	2	2	5	3
657	20	10	15	6	50	1.5	15	8	2	3	3
658	40	10	10	4	40	3.5	15	5	2	5	3
659	40	10	10	4	60	1.5	25	8	2	3	3
660	30	5	15	4	40	3.5	15	5	4	5	3
661	20	10	15	4	60	1.5	45	8	4	5	1
662	50	5	15	6	50	3.5	25	8	2	3	3
663	50	10	15	4	40	3.5	45	8	2	3	2
664	20	5	15	4	60	1.5	35	5	4	3	1
665	40	10	10	6	40	1.5	15	8	2	3	3
666	40	10	10	4	40	3.5	35	5	2	3	2
667	20	10	15	6	50	3.5	15	2	4	5	3
668	40	10	10	4	40	1.5	45	2	4	5	2
669	20	10	10	6	50	1.5	15	8	4	5	3
670	50	5	10	4	50	3.5	15	5	4	3	3
671	20	10	10	6	60	3.5	35	2	4	5	1
672	20	5	15	4	60	1.5	25	2	4	5	1
673	50	10	15	4	50	1.5	35	2	4	5	3
674	20	5	10	4	50	3.5	35	5	2	3	1
675	20	5	15	6	40	1.5	25	8	4	3	1
676	40	10	15	4	40	1.5	35	2	4	5	2
677	50	10	15	6	50	1.5	25	8	4	5	3
678	50	10	10	6	40	3.5	15	5	4	3	3
679	40	10	15	6	40	1.5	15	2	4	5	3
680	30	10	10	6	60	1.5	25	8	4	3	3
681	50	10	15	6	50	3.5	45	8	4	5	3
682	20	10	10	6	40	3.5	35	2	2	3	1
683	30	10	10	4	50	1.5	25	8	4	5	1
684	20	5	10	6	50	3.5	25	8	4	3	1
685	20	5	15	6	60	3.5	15	8	4	3	3
686	50	5	10	4	50	3.5	35	8	2	5	3
687	40	5	10	6	40	1.5	35	2	2	5	3
688	20	10	15	4	40	1.5	45	2	4	3	1
689	40	10	10	4	40	3.5	45	5	4	5	2
690	40	10	15	4	50	1.5	25	2	2	3	3
691	50	10	15	4	40	3.5	45	5	2	3	2
692	20	5	15	6	40	3.5	15	8	4	3	3
693	50	10	15	4	60	1.5	25	2	4	3	3
694	30	10	10	4	60	3.5	15	2	4	5	3
695	20	5	15	4	40	3.5	15	2	2	3	3
696	40	5	10	4	40	3.5	15	2	4	5	3
697	30	5	15	6	50	3.5	15	2	2	5	3
698	30	5	10	4	60	3.5	25	5	4	5	3
699	20	5	15	6	40	3.5	15	5	2	3	3
700	30	10	15	4	40	1.5	35	8	4	5	2
701	30	5	15	6	50	3.5	15	5	2	3	3
702	50	5	10	6	60	1.5	45	5	2	5	3
703	40	5	15	4	60	3.5	15	8	4	5	3
704	30	10	15	4	50	1.5	15	8	4	5	3
705	40	10	15	6	40	3.5	15	2	4	5	3
706	20	10	15	6	40	3.5	35	2	4	5	1
707	50	5	10	6	60	3.5	35	5	2	5	3
708	20	5	15	4	60	1.5	35	8	2	5	1
709	50	10	15	4	40	1.5	45	2	2	5	2
710	50	10	15	4	60	3.5	35	5	4	5	3
711	20	10	10	4	60	3.5	45	5	4	5	1
712	50	5	15	6	60	3.5	35	2	4	5	3
713	50	10	10	4	60	1.5	15	8	2	3	3
714	50	5	10	4	50	1.5	35	5	2	3	3
715	30	10	15	6	40	3.5	45	8	4	5	2
716	20	5	15	4	40	3.5	35	5	4	5	1
717	30	5	15	6	50	3.5	45	2	4	3	1
718	20	5	10	4	50	1.5	25	5	4	5	3
719	30	10	15	4	50	3.5	15	5	4	5	3
720	50	5	15	6	60	1.5	25	5	4	5	3
721	50	5	15	6	60	3.5	45	8	4	5	3
722	30	5	15	4	40	3.5	45	8	2	3	2
723	30	5	15	4	50	1.5	15	8	4	5	3
724	40	10	15	4	40	3.5	35	2	2	3	3
725	20	5	10	4	60	1.5	45	5	2	5	1
726	40	5	15	4	60	1.5	25	2	4	5	3
727	20	5	15	4	60	1.5	15	5	4	3	3
728	20	10	10	4	50	3.5	25	2	2	5	3
729	20	5	10	4	60	1.5	45	5	2	5	1
730	20	10	15	4	60	3.5	35	2	4	5	1
731	20	10	15	4	40	1.5	15	5	4	5	3
732	20	5	10	6	40	1.5	25	8	2	3	2
733	50	10	15	4	50	1.5	45	8	4	3	2
734	50	10	10	4	50	1.5	25	5	2	5	3
735	50	5	15	4	40	1.5	45	5	2	3	2
736	20	5	15	6	40	3.5	35	2	4	5	1
737	30	10	15	6	40	3.5	15	5	2	3	3
738	30	10	10	4	50	3.5	45	2	4	3	1
739	50	10	15	4	50	1.5	45	8	2	5	2
740	20	5	15	4	60	1.5	35	8	2	3	1
741	30	10	15	6	50	1.5	15	2	2	5	3
742	30	5	10	6	40	1.5	15	2	2	3	3
743	50	5	10	4	40	3.5	25	8	4	3	2
744	40	10	10	4	50	3.5	15	5	2	3	3
745	40	5	10	6	60	1.5	25	8	2	5	3
746	30	5	10	6	60	3.5	35	2	4	5	1
747	40	10	15	6	40	1.5	45	5	4	3	2
748	50	5	10	4	50	1.5	15	8	4	5	3
749	30	10	10	4	40	3.5	25	2	2	3	3
750	40	5	15	4	40	3.5	35	5	2	3	3
751	40	10	10	6	60	3.5	15	8	4	5	3
752	30	5	10	6	40	1.5	15	2	4	5	3
753	20	5	10	4	40	3.5	25	8	4	5	1
754	50	5	10	6	60	1.5	25	5	4	5	3
755	30	10	15	6	60	3.5	15	8	4	3	3
756	40	5	15	6	50	1.5	45	5	2	3	2
757	40	10	10	4	60	3.5	15	5	2	3	3
758	20	5	10	4	40	3.5	45	2	4	3	1
759	40	5	15	4	60	3.5	25	2	2	5	3
760	50	5	15	4	40	1.5	45	2	4	5	2
761	30	10	15	4	60	3.5	15	2	2	3	3
762	20	10	10	6	60	1.5	15	8	4	3	1
763	40	10	10	6	50	1.5	25	5	2	5	3
764	50	10	15	4	40	3.5	35	5	2	5	2
765	40	10	10	6	60	1.5	35	8	4	5	3
766	50	5	15	6	60	3.5	25	5	4	5	3
767	30	10	15	6	40	3.5	45	8	2	3	2
768	50	5	15	6	50	3.5	25	2	4	5	3
769	30	5	15	6	40	1.5	45	5	4	5	2
770	50	10	10	4	40	1.5	15	8	4	5	3
771	40	5	15	4	40	3.5	25	5	2	5	3
772	20	10	15	6	50	1.5	35	2	2	3	3
773	20	10	10	6	60	1.5	15	8	2	3	3
774	30	10	10	6	60	1.5	45	5	2	3	1
775	40	5	15	4	60	1.5	35	5	4	3	3
776	50	5	15	4	50	3.5	25	5	4	3	3
777	20	5	15	4	40	1.5	15	5	4	3	1
778	20	10	15	6	50	1.5	25	8	4	5	1
779	30	5	10	6	50	1.5	15	5	4	3	3
780	40	10	10	4	60	3.5	35	8	2	3	3
781	30	5	15	6	60	1.5	45	8	4	3	1
782	20	5	10	4	50	1.5	15	5	4	5	1
783	50	10	10	6	50	1.5	15	5	4	5	3
784	20	5	15	6	50	3.5	35	2	4	3	3
785	20	5	15	4	40	3.5	25	5	4	5	1
786	30	10	10	4	60	1.5	35	5	2	5	1
787	50	10	10	4	60	1.5	45	5	4	3	3
788	20	5	10	4	40	3.5	35	2	4	5	1
789	50	10	15	6	60	3.5	35	2	4	3	3
790	20	5	15	6	60	3.5	45	2	2	5	1
791	30	5	15	6	40	1.5	15	2	4	3	3
792	50	5	15	4	40	1.5	35	2	4	3	2
793	40	10	10	4	40	3.5	25	2	4	5	3
794	50	5	10	6	60	1.5	25	2	4	5	3
795	20	10	10	4	60	1.5	25	2	4	3	1
796	40	5	10	4	60	3.5	25	5	2	5	3
797	40	5	15	6	50	1.5	45	2	4	3	3
798	40	10	10	4	50	1.5	15	2	2	5	3
799	40	10	15	4	40	1.5	25	8	4	5	2
800	50	5	15	4	40	1.5	45	8	4	3	2
801	30	5	10	6	60	1.5	35	8	4	3	1
802	30	5	15	4	60	1.5	25	8	2	5	1
803	30	10	10	6	50	3.5	35	2	4	5	1
804	40	5	10	4	50	3.5	35	8	2	5	2
805	50	5	10	4	40	1.5	25	2	4	3	3
806	40	10	10	6	60	1.5	35	8	4	5	3
807	20	5	15	4	60	3.5	15	8	2	3	1
808	30	10	15	4	50	3.5	45	8	4	3	1
809	40	5	10	4	40	3.5	45	8	2	5	2
810	20	10	15	4	50	1.5	15	2	4	5	3
811	50	5	15	6	50	1.5	25	8	2	3	3
812	40	10	15	4	50	3.5	35	5	2	5	3
813	20	5	10	4	50	3.5	45	2	2	3	1
814	30	5	15	6	50	3.5	25	2	4	3	3
815	30	5	15	4	60	3.5	45	2	4	3	1
816	30	10	15	4	40	1.5	15	2	4	3	3
817	30	5	10	6	50	3.5	25	5	2	3	3
818	20	10	15	6	40	3.5	35	8	4	3	1
819	30	5	10	4	50	3.5	35	2	4	3	3
820	50	10	10	4	60	3.5	45	8	4	3	3
821	40	5	15	6	40	3.5	25	2	4	3	3
822	50	5	10	6	40	1.5	35	8	2	5	2
823	40	5	15	4	60	1.5	45	5	4	3	3
824	20	5	15	4	50	1.5	35	2	2	5	1
825	40	5	10	4	40	3.5	35	8	4	3	2
826	40	10	15	4	50	1.5	35	8	4	3	3
827	20	5	10	6	50	3.5	45	8	4	5	1
828	30	5	15	6	50	1.5	15	5	2	3	3
829	40	5	15	6	50	3.5	45	8	2	3	2
830	20	10	15	6	40	3.5	45	2	2	5	1
831	40	5	10	6	50	3.5	45	5	2	3	1
832	50	10	15	4	50	1.5	25	5	2	5	3
833	50	10	15	6	60	1.5	45	2	2	5	3
834	20	5	10	6	60	3.5	35	8	4	3	1
835	20	10	15	4	50	3.5	25	5	2	5	1
836	50	5	15	6	40	3.5	45	2	2	3	2
837	30	10	15	6	50	1.5	15	2	2	5	3
838	30	5	15	4	40	3.5	15	8	2	3	3
839	50	10	15	4	50	1.5	15	8	4	5	3
840	20	5	15	4	50	1.5	35	8	4	3	1
841	30	5	10	4	50	3.5	45	8	4	3	1
842	30	10	15	6	60	1.5	25	2	2	3	3
843	30	10	15	6	40	3.5	15	2	4	5	3
844	20	10	10	6	60	1.5	15	8	4	3	3
845	40	5	10	4	50	1.5	15	5	2	5	3
846	40	5	15	6	40	3.5	45	5	2	3	2
847	20	10	10	6	60	1.5	45	5	4	3	1
848	50	5	15	6	60	3.5	45	5	2	5	3
849	40	5	15	6	50	3.5	15	5	4	5	3
850	30	5	10	4	60	3.5	25	2	4	3	3
851	30	5	15	4	50	1.5	25	5	2	3	3
852	30	10	15	4	40	1.5	45	5	4	5	2
853	50	5	15	6	60	1.5	25	2	4	5	3
854	20	5	15	6	60	3.5	25	2	2	3	3
855	40	5	15	4	50	3.5	35	8	2	5	2
856	20	5	10	4	50	1.5	45	8	4	3	1
857	20	5	10	4	60	3.5	15	5	2	5	1
858	20	10	15	6	40	1.5	25	5	2	5	1
859	40	5	10	4	50	1.5	35	2	4	3	3
860	40	10	10	6	60	3.5	45	5	4	5	1
861	50	5	15	6	40	3.5	45	2	4	5	2
862	30	10	15	6	50	1.5	45	5	2	3	3
863	50	5	15	6	50	1.5	25	2	4	5	3
864	40	5	10	4	60	1.5	45	5	2	5	1
865	50	10	15	4	60	3.5	25	8	2	5	3
866	30	5	10	6	60	1.5	35	8	2	5	1
867	30	5	15	6	60	1.5	45	5	4	3	1
868	20	5	10	6	60	3.5	35	8	2	5	1
869	50	10	10	6	40	3.5	25	2	4	5	3
870	40	5	10	4	60	3.5	15	5	4	5	3
871	40	10	15	6	60	3.5	15	2	4	5	3
872	50	5	10	4	60	3.5	25	5	2	3	3
873	40	10	15	6	40	3.5	45	8	4	5	2
874	20	5	15	4	40	3.5	25	5	4	5	1
875	50	5	15	4	60	1.5	45	5	2	5	3
876	50	10	15	6	40	1.5	25	5	2	5	3
877	50	5	10	4	40	3.5	15	2	4	5	3
878	20	5	10	4	40	1.5	45	8	2	3	1
879	50	10	15	4	60	1.5	35	2	4	3	3
880	30	10	10	6	40	1.5	45	8	4	3	2
881	20	5	10	6	50	3.5	25	5	2	3	3
882	20	10	10	6	50	3.5	15	2	2	5	3
883	40	5	10	6	60	3.5	15	8	4	3	3
884	50	10	10	4	40	1.5	25	5	4	3	3
885	40	5	15	4	60	1.5	25	5	4	5	3
886	40	10	10	6	60	1.5	25	8	2	5	3
887	40	10	15	6	50	3.5	15	5	4	5	3
888	50	10	15	6	60	3.5	45	2	4	3	3
889	50	5	15	4	60	3.5	45	5	4	3	3
890	50	5	10	6	40	3.5	35	8	4	3	2
891	20	5	15	4	60	3.5	25	5	4	3	3
892	50	5	10	4	60	3.5	35	5	4	5	3
893	50	10	10	4	40	3.5	45	8	4	3	2
894	50	5	10	6	50	1.5	35	2	2	3	3
895	20	5	10	4	60	3.5	25	8	4	3	1
896	20	5	15	6	50	3.5	15	2	4	3	3
897	20	5	15	6	60	3.5	45	5	4	3	1
898	50	10	15	4	60	3.5	15	2	4	5	3
899	50	5	10	6	40	3.5	25	5	4	3	3
900	50	10	10	6	50	3.5	35	5	4	3	3
901	20	5	15	4	40	3.5	35	2	4	3	1
902	50	5	10	6	50	3.5	15	5	2	3	3
903	30	10	15	4	60	3.5	35	2	2	5	1
904	50	5	10	4	40	1.5	45	2	2	3	2
905	50	5	15	6	40	3.5	25	5	2	3	3
906	20	10	10	6	60	3.5	45	5	2	3	1
907	20	5	15	4	60	1.5	45	8	2	5	1
908	20	10	10	6	50	3.5	45	5	4	3	1
909	20	5	15	4	40	1.5	15	2	2	5	3
910	20	5	15	6	60	1.5	45	5	4	5	1
911	40	5	10	6	50	3.5	35	2	2	3	3
912	40	10	10	6	40	3.5	35	5	4	5	2
913	30	5	15	6	60	1.5	35	2	2	3	3
914	20	5	10	6	50	3.5	45	5	4	3	1
915	30	5	10	4	60	1.5	25	5	4	3	3
916	30	10	15	4	50	1.5	45	5	4	3	1
917	20	10	15	4	60	3.5	35	8	4	5	1
918	20	5	15	4	60	3.5	45	8	2	5	1
919	40	5	10	6	50	1.5	15	5	2	3	3
920	50	10	10	6	40	1.5	25	8	2	3	3
921	30	5	15	4	40	3.5	35	5	4	3	1
922	40	10	10	6	60	1.5	35	8	4	3	3
923	30	5	15	4	40	1.5	35	8	4	3	2
924	40	5	10	4	50	1.5	15	5	4	3	3
925	20	5	15	6	40	1.5	35	8	4	5	1
926	30	5	15	6	50	1.5	25	5	4	3	3
927	20	10	15	4	60	3.5	45	8	4	3	1
928	30	10	10	4	50	3.5	15	8	2	5	3
929	50	5	10	6	60	1.5	35	2	2	3	3
930	30	10	15	4	50	3.5	25	5	4	5	3
931	30	5	15	4	60	3.5	45	8	2	3	1
932	30	10	15	6	40	3.5	45	2	2	5	1
933	20	10	10	6	50	1.5	35	2	2	5	1
934	40	5	15	6	60	3.5	15	2	2	5	3
935	40	10	15	4	60	1.5	25	2	4	3	3
936	20	10	10	6	40	3.5	35	8	2	3	1
937	20	5	15	6	40	1.5	25	2	4	5	3
938	50	5	15	4	60	1.5	45	5	2	3	3
939	40	5	15	6	50	1.5	15	2	2	3	3
940	20	5	15	4	50	3.5	35	5	4	3	1
941	30	5	15	6	60	3.5	15	2	2	3	3
942	30	10	15	6	40	1.5	45	2	4	5	2
943	40	10	15	4	50	1.5	35	5	2	5	3
944	40	5	15	6	50	1.5	45	8	4	5	2
945	30	10	10	4	60	3.5	35	2	4	5	1
946	50	5	10	4	50	3.5	15	2	2	5	3
947	40	10	10	4	60	1.5	35	2	2	3	3
948	40	10	15	4	40	3.5	45	2	4	3	2
949	40	10	15	4	60	1.5	15	5	4	5	3
950	20	5	15	4	40	1.5	25	8	4	5	1
951	50	5	15	4	50	1.5	45	8	2	5	2
952	20	5	15	4	60	3.5	35	2	2	3	1
953	30	10	10	6	40	1.5	25	8	4	5	3
954	50	5	15	4	60	3.5	15	2	2	5	3
955	30	5	10	4	40	3.5	45	8	4	3	2
956	50	10	10	6	60	3.5	15	2	2	3	3
957	40	5	10	6	50	3.5	45	8	2	5	1
958	20	10	15	6	40	3.5	35	8	4	3	1
959	30	10	10	4	40	1.5	15	2	2	5	3
960	40	5	10	4	40	1.5	35	8	4	3	2
961	20	10	15	4	60	1.5	15	2	4	5	3
962	50	5	10	4	50	1.5	45	2	2	3	3
963	50	10	10	6	60	3.5	15	2	4	5	3
964	30	5	10	4	40	3.5	15	2	4	3	3
965	20	5	10	4	60	3.5	25	2	2	3	1
966	40	10	15	4	50	1.5	35	5	2	5	3
967	20	5	10	4	40	3.5	15	5	4	3	3
968	30	5	10	6	40	1.5	15	8	2	3	3
969	30	5	10	4	60	3.5	25	5	4	5	3
970	50	5	15	4	40	3.5	45	2	2	5	2
971	40	5	15	4	50	1.5	25	2	4	3	3
972	30	5	10	6	50	3.5	35	2	4	5	3
973	50	10	15	4	50	1.5	25	2	4	3	3
974	50	10	10	4	50	1.5	35	8	4	3	3
975	50	5	10	4	60	3.5	15	5	2	5	3
976	40	5	10	4	60	3.5	15	5	2	5	3
977	40	10	10	6	50	3.5	15	5	2	5	3
978	30	10	10	4	50	3.5	15	8	2	5	3
979	40	5	15	4	60	3.5	15	8	4	3	3
980	50	10	15	6	50	1.5	25	5	4	5	3
981	40	10	15	4	40	3.5	15	8	4	3	3
982	20	5	15	4	60	3.5	15	5	4	3	3
983	40	5	15	4	50	1.5	45	2	4	5	2
984	40	10	15	4	40	3.5	15	5	4	5	3
985	20	10	10	4	60	3.5	35	5	2	5	1
986	20	5	10	6	50	1.5	15	5	2	5	3
987	20	5	15	4	50	3.5	45	8	4	5	1
988	30	5	10	6	50	1.5	45	8	4	3	1
989	50	5	15	4	60	1.5	35	5	2	5	3
990	20	5	10	6	40	3.5	45	5	2	5	1
991	50	10	15	4	40	1.5	15	5	4	3	3
992	50	5	15	6	60	3.5	45	8	4	3	3
993	20	5	10	4	60	3.5	25	2	4	3	3
994	20	10	15	4	40	3.5	45	2	4	5	1
995	20	10	15	4	50	3.5	35	5	2	5	1
996	30	5	10	4	50	3.5	15	5	2	3	3
997	20	5	10	6	60	1.5	35	2	2	3	1
998	50	5	10	6	50	1.5	15	2	4	5	3
999	30	10	15	4	40	1.5	45	5	4	3	2
1000	50	5	15	4	40	1.5	15	8	4	3	3
